anio,conglome,vivienda,hogar,codperso,p207,p207_label,p208a,p301a,p301a_label,p301a1,p301a1_label,p505r4,p505r4_label,txt505,txt505b,p506r4,p506r4_label,txt506,p507,p507_label,p510,p510_label,txt505_clean,txt505b_clean,txt506_clean,texto_final,texto_concatenado,label_id,predicted_label,true_label,confidence
2022,019971,097,11,04,1,hombre,19,6.0,secundaria completa,526165.0,mecanica automotriz,8321,conductores de motocicletas,REPARTIDOR DE DELIVERY,RECOGER ENTREGAR PEDIDOS COBRAR POR EL SERVICIO,4922,otros tipos de transporte terrestre de pasajeros,SERVICIO DE DELEVERY EN MOTO LINEAL,2.0,trabajador independiente,,<NA>,repartidor de delivery,recoger entregar pedidos cobrar por el servicio,servicio de delevery en moto lineal,repartidor de delivery recoger entregar pedidos cobrar por el servicio servicio de delevery en moto lineal,"repartidor de delivery recoger entregar pedidos cobrar por el servicio servicio de delevery en moto lineal , edad: 19 años , educación: secundaria completa , desempeño: trabajador independiente",304.0,9621,8321,0.95248187
2024,017945,026,11,06,1,hombre,77,6.0,secundaria completa,,,9629,otras ocupaciones elementales,CAMBISTA DE DINERO EXTRANJERO,COMPRAR VENDER MONEDA EXTRANJERA,6612,actividades bursátiles y de tramitación de contratos de productos básicos,COMPRA VENTA DE MONEDA EXTRANJERA AMBULATORIA,2.0,trabajador independiente,,<NA>,cambista de dinero extranjero,comprar vender moneda extranjera,compra venta de moneda extranjera ambulatoria,cambista de dinero extranjero comprar vender moneda extranjera compra venta de moneda extranjera ambulatoria,"cambista de dinero extranjero comprar vender moneda extranjera compra venta de moneda extranjera ambulatoria , edad: 77 años , educación: secundaria completa , desempeño: trabajador independiente",356.0,4211,9629,0.4197163
2021,010487,019,11,03,1,hombre,59,9.0,superior universitaria incompleta,121106.0,educación secundaria - ciencias historico sociales,9622,"porteros, guardianes y afines",CUIDANTE DE DEPOSITO,CUIDAR LIMPIAR DEPOSITO,8010,actividades de seguridad privada,SERVICIO DE CUIDADO LIMPIEZA Y MANTENIMIENTO DE DEPOSITO,2.0,trabajador independiente,,<NA>,cuidante de deposito,cuidar limpiar deposito,servicio de cuidado limpieza y mantenimiento de deposito,cuidante de deposito cuidar limpiar deposito servicio de cuidado limpieza y mantenimiento de deposito,"cuidante de deposito cuidar limpiar deposito servicio de cuidado limpieza y mantenimiento de deposito , edad: 59 años , educación: superior universitaria incompleta , desempeño: trabajador independiente",353.0,9629,9622,0.94204646
2021,015403,046,11,01,1,hombre,36,10.0,superior universitaria completa,611116.0,ingeniería agronomica,3124,"supervisores de abastecimiento, distribución y afines",SUPERVISOR DE PERSONAL DE OBRA,RESPONSABLE  DE LA  EJECUCIÓN DE LA OBRA Y  MONITORIAR AL PERSONAL QUE,8411,actividades de la administración pública en general,GOBIERNO REGIONAL,3.0,empleado,2.0,administración pública,supervisor de personal de obra,responsable de la ejecución de la obra y monitoriar al personal que,gobierno regional,supervisor de personal de obra responsable de la ejecución de la obra y monitoriar al personal que gobierno regional,"supervisor de personal de obra responsable de la ejecución de la obra y monitoriar al personal que gobierno regional , edad: 36 años , educación: superior universitaria completa , desempeño: empleado",100.0,3123,3124,0.81017977
2023,015139,244,11,02,2,mujer,18,6.0,secundaria completa,,,9629,otras ocupaciones elementales,FACILITADORA DE CUNA MAS,HACER VISITA DOMICILIARIA PARA ESTIMULACIÓN TEMPRANA DE NIÑO ORIENTA,8412,"regulación de las act de organis que prestan serv salud, educ, cultur y otros serv sociales,excepto serv de segur social",MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,3.0,empleado,2.0,administración pública,facilitadora de cuna mas,hacer visita domiciliaria para estimulación temprana de niño orienta,ministerio de desarrollo e inclusión social,facilitadora de cuna mas hacer visita domiciliaria para estimulación temprana de niño orienta ministerio de desarrollo e inclusión social,"facilitadora de cuna mas hacer visita domiciliaria para estimulación temprana de niño orienta ministerio de desarrollo e inclusión social , edad: 18 años , educación: secundaria completa , desempeño: empleado",356.0,5311,9629,0.96486217
2024,016238,089,11,02,2,mujer,35,4.0,primaria completa,,,5120,cocineros,AYUDANTE DE VENDEDORA DE MAZAMORRA MORADA ARROZ  CON LECHE,VENDER COBRAR EN PUERTA DE VIVIENDA,5610,restaurantes y servicios móviles de alimentación,PREPARACIÓN VENTA DE MAZAMORRA MORADA ARROZ CON LECHE EN LA PUERTA DE,3.0,empleado,6.0,empresa o patrono privado,ayudante de vendedora de mazamorra morada arroz con leche,vender cobrar en puerta de vivienda,preparación venta de mazamorra morada arroz con leche en la puerta de,ayudante de vendedora de mazamorra morada arroz con leche vender cobrar en puerta de vivienda preparación venta de mazamorra morada arroz con leche en la puerta de,"ayudante de vendedora de mazamorra morada arroz con leche vender cobrar en puerta de vivienda preparación venta de mazamorra morada arroz con leche en la puerta de , edad: 35 años , educación: primaria completa , desempeño: empleado",187.0,9629,5120,0.9480262
2020,009339,011,11,02,2,mujer,40,10.0,superior universitaria completa,332076.0,adminis en turismo y hoteleria (incluc de admin de turis y hoteler ; admin hoteler y de turis y admini hoteler y turis),2421,analistas de gestión y organización,ADMINISTRADORA DE HOTEL,ADMINISTRAR SUPERVIZAR,5510,actividades de alojamiento de corto plazo,SERVICIO DE HOSPEDAJE EN HOTEL,3.0,empleado,6.0,empresa o patrono privado,administradora de hotel,administrar supervizar,servicio de hospedaje en hotel,administradora de hotel administrar supervizar servicio de hospedaje en hotel,"administradora de hotel administrar supervizar servicio de hospedaje en hotel , edad: 40 años , educación: superior universitaria completa , desempeño: empleado",69.0,3314,2421,0.9665646
2022,018764,035,11,04,1,hombre,17,4.0,primaria completa,,,8341,operadores de maquinaria agrícola y forestal móvil,CHOFER DE CUBOTA,MANEJAR CUBOTA ORDENAR LAS MADERAS,4752,"venta al por menor de artículos de ferretería, pinturas y productos de vidrio en almacenes especializados",VENTA DE MADERA ASERRADA POR MENOR EN ASERRADERO,4.0,obrero,6.0,empresa o patrono privado,chofer de cuota,manejar cuota ordenar las maderas,venta de madera aserrada por menor en aserradero,chofer de cuota manejar cuota ordenar las maderas venta de madera aserrada por menor en aserradero,"chofer de cuota manejar cuota ordenar las maderas venta de madera aserrada por menor en aserradero , edad: 17 años , educación: primaria completa , desempeño: obrero",308.0,8343,8341,0.3049357
2021,018627,055,22,01,2,mujer,39,10.0,superior universitaria completa,422026.0,ingeniería quimica,5120,cocineros,PREPARADORA VENDEDORA DE HELADO,PREPARAR VENDER HELADO ATENDER CLIENTES,5610,restaurantes y servicios móviles de alimentación,PREPARACION VENTA DE HELADO POR MENOR EN SU VIVIENDA,2.0,trabajador independiente,,<NA>,preparadora vendedora de helado,preparar vender helado atender clientes,preparación venta de helado por menor en su vivienda,preparadora vendedora de helado preparar vender helado atender clientes preparación venta de helado por menor en su vivienda,"preparadora vendedora de helado preparar vender helado atender clientes preparación venta de helado por menor en su vivienda , edad: 39 años , educación: superior universitaria completa , desempeño: trabajador independiente",187.0,7514,5120,0.8634151
2024,018870,058,11,01,1,hombre,45,3.0,primaria incompleta,,,8171,operadores de máquinas de procesamiento de la madera,ASERRADOR DE MADERA,FABRICAR TABLAS PARA ARMAR CAJAS PAPAYA,1621,fabricación de hojas de madera para enchapado y paneles a base de madera,FABRICACION VENTA DE TABLAS DE MADERA EN TALLER,1.0,empleador o patrono,,<NA>,aserrador de madera,fabricar tablas para armar cajas papaya,fabricación venta de tablas de madera en taller,aserrador de madera fabricar tablas para armar cajas papaya fabricación venta de tablas de madera en taller,"aserrador de madera fabricar tablas para armar cajas papaya fabricación venta de tablas de madera en taller , edad: 45 años , educación: primaria incompleta , desempeño: empleador o patrono",299.0,7322,8171,0.9876187
2020,018662,143,11,07,1,hombre,31,8.0,superior no universitaria completa,441095.0,computacion e informatica,2330,profesores de enseñanza secundaria,PROFESOR DE COMPUTACION,DICTAR CLASES  VIRTUALES,8521,enseñanza secundaria de formación general,INSTITUCIÓN EDUCATIVA SECUNDARIA ESTATAL,3.0,empleado,2.0,administración pública,profesor de computacion,dictar clases virtuales,institución educativa secundaria estatal,profesor de computacion dictar clases virtuales institución educativa secundaria estatal,"profesor de computacion dictar clases virtuales institución educativa secundaria estatal , edad: 31 años , educación: superior no universitaria completa , desempeño: empleado",60.0,2353,2330,0.4434115
2024,015014,025,11,01,2,mujer,39,7.0,superior no universitaria incompleta,715015.0,fisioterapia y rehabilitacion,9629,otras ocupaciones elementales,QUIROMASAJISTA,ENDEREZAR ALINEAR COLUMNA REALIZAR MASAJE RELAJANTE TERAPEUTICO DESCON,8690,otras actividades relacionadas con la salud humana,SERVICIO DE QUIROMASAJE EN SU VIVIENDA,2.0,trabajador independiente,,<NA>,quiromasajista,enderezar alinear columna realizar masaje relajante terapéutico descon,servicio de quiromasaje en su vivienda,quiromasajista enderezar alinear columna realizar masaje relajante terapéutico descon servicio de quiromasaje en su vivienda,"quiromasajista enderezar alinear columna realizar masaje relajante terapéutico descon servicio de quiromasaje en su vivienda , edad: 39 años , educación: superior no universitaria incompleta , desempeño: trabajador independiente",356.0,3230,9629,0.88040155
2024,018596,152,11,03,1,hombre,21,9.0,superior universitaria incompleta,713016.0,estomatologia,3251,técnicos superiores en higiene bucal  y asistentes dentales,ODONTOLOGO TECNICO,ATENDER AL PACIENTE,8620,actividades de médicos y odontólogos,SERVICIO DE PROFILAXIS DENTAL EN SU VIVIENDA,2.0,trabajador independiente,,<NA>,odontólogo tecnico,atender al paciente,servicio de profilaxis dental en su vivienda,odontólogo tecnico atender al paciente servicio de profilaxis dental en su vivienda,"odontólogo tecnico atender al paciente servicio de profilaxis dental en su vivienda , edad: 21 años , educación: superior universitaria incompleta , desempeño: trabajador independiente",121.0,2251,3251,0.984726
2024,018027,060,11,02,1,hombre,60,8.0,superior no universitaria completa,215015.0,archivos,5412,policías municipales,SUPERVISOR DE PERSONAL DE SEGURIDAD CIUDADANA,SUPERVISAR CONTROLAR A PERSONAL DE SEGURIDAD CIUDADANA,8411,actividades de la administración pública en general,MUNICIPALIDAD DISTRITAL,3.0,empleado,2.0,administración pública,supervisor de personal de seguridad ciudadana,supervisar controlar a personal de seguridad ciudadana,municipalidad distrital,supervisor de personal de seguridad ciudadana supervisar controlar a personal de seguridad ciudadana municipalidad distrital,"supervisor de personal de seguridad ciudadana supervisar controlar a personal de seguridad ciudadana municipalidad distrital , edad: 60 años , educación: superior no universitaria completa , desempeño: empleado",208.0,3124,5412,0.9415045
2023,015136,071,11,03,2,mujer,14,5.0,secundaria incompleta,,,9412,ayudantes de cocina,AYUDANTE DE VENDEDORA PREPARADORA DE ANTICUCHO PAPA RELLENA REFRESCO D,ATENDER CLENTE VENDER ANTICUCHO PAPA RELLENA REFRESCO DE CEBADA SOYA,5610,restaurantes y servicios móviles de alimentación,PREPARACION VENTA DE ANTICUCHO PAPA RELLENA REFRESCO DE CEBADA SOYA AM,5.0,trabajador familiar no remunerado,,<NA>,ayudante de vendedora preparadora de anticucho papa rellena refresco d,atender cliente vender anticucho papa rellena refresco de cebada soya,preparación venta de anticucho papa rellena refresco de cebada soya am,ayudante de vendedora preparadora de anticucho papa rellena refresco d atender cliente vender anticucho papa rellena refresco de cebada soya preparación venta de anticucho papa rellena refresco de cebada soya am,"ayudante de vendedora preparadora de anticucho papa rellena refresco d atender cliente vender anticucho papa rellena refresco de cebada soya preparación venta de anticucho papa rellena refresco de cebada soya am , edad: 14 años , educación: secundaria incompleta , desempeño: trabajador familiar no remunerado",333.0,9629,9412,0.6767082
2022,008862,019,11,07,2,mujer,28,8.0,superior no universitaria completa,714035.0,enfermeria tecnica,7511,"matarifes y trabajadores en la elaboración de productos de carne, pescados y afines",PESADORA DE LANGOSTINO,PESAR SELLAR LANGOSTINO,1020,"procesamiento y conservación de pescados , crustáceos y moluscos",CONSERVACIÓN REFRIGERACIÓN EXPORTACIÓN DE MARISCOS EN LOCAL,4.0,obrero,6.0,empresa o patrono privado,pesadora de langostino,pesar sellar langostino,conservación refrigeración exportación de mariscos en local,pesadora de langostino pesar sellar langostino conservación refrigeración exportación de mariscos en local,"pesadora de langostino pesar sellar langostino conservación refrigeración exportación de mariscos en local , edad: 28 años , educación: superior no universitaria completa , desempeño: obrero",276.0,9629,7511,0.9925271
2023,019319,030,11,01,1,hombre,56,7.0,superior no universitaria incompleta,342045.0,contabilidad y finanzas,4417,"auxiliares en la administración, contabilidad, derecho y afines",ASESOR CONTABLE,BRINDAR ASESORÍA CONTABLE,6920,"actividades de contabilidad, teneduría de libros y auditorías; asesoramiento en materia de impuestos",SERVICIO DE ASESORÍA CONTABLE A EMPRESA DE CLIENTE,2.0,trabajador independiente,,<NA>,asesor contable,brindar asesoría contable,servicio de asesoría contable a empresa de cliente,asesor contable brindar asesoría contable servicio de asesoría contable a empresa de cliente,"asesor contable brindar asesoría contable servicio de asesoría contable a empresa de cliente , edad: 56 años , educación: superior no universitaria incompleta , desempeño: trabajador independiente",182.0,2411,4417,0.90906614
2024,019558,081,11,03,1,hombre,17,5.0,secundaria incompleta,,,5212,vendedores minoristas en tiendas y establecimientos (excepto kioscos y mercados),AYUDANTE DE VENDEDORA DE COMBUSTIBLE,VENDER ATENDER COBRAR A CLIENTE,4730,venta al por menor de combustible para vehículos automotores en almacenes especializados,VENTA POR MENOR DE COMBUSTIBLE EN TIENDA,5.0,trabajador familiar no remunerado,,<NA>,ayudante de vendedora de combustible,vender atender cobrar a cliente,venta por menor de combustible en tienda,ayudante de vendedora de combustible vender atender cobrar a cliente venta por menor de combustible en tienda,"ayudante de vendedora de combustible vender atender cobrar a cliente venta por menor de combustible en tienda , edad: 17 años , educación: secundaria incompleta , desempeño: trabajador familiar no remunerado",193.0,5244,5212,0.9409078
2020,019138,024,11,01,1,hombre,51,6.0,secundaria completa,,,8342,operadores de máquinas de movimiento de tierras y afines,OPREADOR DE PERFORADOR JUMBO,OPERAR PERFORAR ROCA EN INTERIOR MINA,0729,extracción de otros minerales metalíferos no ferrosos,EXTRACCION DE MINERAL COBRE ZINC PLOMO PLATA,4.0,obrero,6.0,empresa o patrono privado,opreador de perforador jumbo,operar perforar roca en interior mina,extracción de mineral cobre zinc plomo plata,opreador de perforador jumbo operar perforar roca en interior mina extracción de mineral cobre zinc plomo plata,"opreador de perforador jumbo operar perforar roca en interior mina extracción de mineral cobre zinc plomo plata , edad: 51 años , educación: secundaria completa , desempeño: obrero",309.0,8111,8342,0.4463165
2020,015315,110,11,01,2,mujer,35,5.0,secundaria incompleta,,,8152,operadores de telares y otras máquinas tejedoras,TEJEDORA DE CHOMPA VESTIDO PANTALONES GORRAS DE LANA A MAQUINA,TEJER CHOMPA VESTIDO PANTALONES GORRAS DE LANA,1430,fabricación de prendas de tejidos de punto y ganchillo,SERVICIO DE TEJIDO DE CHOMPA VESTIDO PANTALONES GORRAS DE LANA A MAQUI,2.0,trabajador independiente,,<NA>,tejedora de chompa vestido pantalones gorras de lana a maquina,tejer chompa vestido pantalones gorras de lana,servicio de tejido de chompa vestido pantalones gorras de lana a maqui,tejedora de chompa vestido pantalones gorras de lana a maquina tejer chompa vestido pantalones gorras de lana servicio de tejido de chompa vestido pantalones gorras de lana a maqui,"tejedora de chompa vestido pantalones gorras de lana a maquina tejer chompa vestido pantalones gorras de lana servicio de tejido de chompa vestido pantalones gorras de lana a maqui , edad: 35 años , educación: secundaria incompleta , desempeño: trabajador independiente",293.0,7351,8152,0.97160596
2020,017028,049,11,01,2,mujer,60,3.0,primaria incompleta,,,5120,cocineros,PREPARADORA VENDEDORA DE FREJOL COLADO,PREPARAR Y VENDER FREJOL COLADO,5610,restaurantes y servicios móviles de alimentación,PREPARACIÓN VENTA DE FREJOL COLADO EN VIVIENDA,2.0,trabajador independiente,,<NA>,preparadora vendedora de frijol colado,preparar y vender frijol colado,preparación venta de frijol colado en vivienda,preparadora vendedora de frijol colado preparar y vender frijol colado preparación venta de frijol colado en vivienda,"preparadora vendedora de frijol colado preparar y vender frijol colado preparación venta de frijol colado en vivienda , edad: 60 años , educación: primaria incompleta , desempeño: trabajador independiente",187.0,7519,5120,0.6705208
2021,015436,085,11,04,2,mujer,15,6.0,secundaria completa,,,9522,vendedores ambulantes de productos agrícolas no utilizados en la alimentación humana,AYUDANTE DE VENDEDOR DE CHALA DE MAIZ POR MENOR Y MAYOR,VENDER ATENDER CLIENTES COBRAR DAR VUELTO,4799,"otros tipos de venta al por menor no realizada en almacenes, puestos de venta o mercados",VENTA DE CHALA DE MAIZ POR MAYOR Y MENOR EN PUESTO IMPROVISADO DE FERI,5.0,trabajador familiar no remunerado,,<NA>,ayudante de vendedor de chala de maíz por menor y mayor,vender atender clientes cobrar dar vuelto,venta de chala de maíz por mayor y menor en puesto improvisado de feria,ayudante de vendedor de chala de maíz por menor y mayor vender atender clientes cobrar dar vuelto venta de chala de maíz por mayor y menor en puesto improvisado de feria,"ayudante de vendedor de chala de maíz por menor y mayor vender atender clientes cobrar dar vuelto venta de chala de maíz por mayor y menor en puesto improvisado de feria , edad: 15 años , educación: secundaria completa , desempeño: trabajador familiar no remunerado",337.0,5213,9522,0.99557906
2021,016526,081,11,01,2,mujer,37,10.0,superior universitaria completa,342056.0,contabilidad,4417,"auxiliares en la administración, contabilidad, derecho y afines",ASISTENTA ADMINISTRATIVO,RECEPCIONAR REGISTRAR ENTREGAR DOCUMENTO REALIZAR CALCULO DE ORDEN  DE,8610,actividades de hospitales,HOSPITAL DEL MINSA,3.0,empleado,2.0,administración pública,asistenta administrativo,recepcionar registrar entregar documento realizar calculo de orden de,hospital del minsa,asistenta administrativo recepcionar registrar entregar documento realizar calculo de orden de hospital del minsa,"asistenta administrativo recepcionar registrar entregar documento realizar calculo de orden de hospital del minsa , edad: 37 años , educación: superior universitaria completa , desempeño: empleado",182.0,4419,4417,0.9924204
2020,007952,086,11,01,1,hombre,31,8.0,superior no universitaria completa,11095.0,operaciones especiales,0312,técnicos de la marina de guerra,INFANTE DE MARINA,PARACAIDISTA BUZEADOR,8422,actividades de defensa,MARINA DE GUERRA DEL PERU,3.0,empleado,1.0,"fuerzas armadas, policía nacional del perú (militares)",infante de marina,paracaidista buzeador,marina de guerra del peru,infante de marina paracaidista buzeador marina de guerra del peru,"infante de marina paracaidista buzeador marina de guerra del peru , edad: 31 años , educación: superior no universitaria completa , desempeño: empleado",8.0,0212,0312,0.40535662
2024,018409,085,12,02,1,hombre,50,8.0,superior no universitaria completa,526165.0,mecanica automotriz,8189,otros operadores de máquinas y de instalaciones fijas,OPERARIO DE MANTENIMIENTO DE BOMBAS DE AGUA,HACER MANTENIMIENTO Y REPARACION BOMBAS CAMBIAR TUBERIAS,7830,otros suministros de recursos humanos,DOTACION DE PERSONAL,4.0,obrero,6.0,empresa o patrono privado,operario de mantenimiento de bombas de agua,hacer mantenimiento y reparación bombas cambiar tuberías,dotación de personal,operario de mantenimiento de bombas de agua hacer mantenimiento y reparación bombas cambiar tuberías dotación de personal,"operario de mantenimiento de bombas de agua hacer mantenimiento y reparación bombas cambiar tuberías dotación de personal , edad: 50 años , educación: superior no universitaria completa , desempeño: obrero",303.0,7127,8189,0.8978341
2022,018212,049,11,01,2,mujer,36,8.0,superior no universitaria completa,715015.0,fisioterapia y rehabilitacion,5312,auxiliares de maestros,AUX ILIAR DE EDUCACIÓN,ENSEÑAR DAR VLASE,8510,enseñanza pre-escolar (inicial) y primaria,INSTITUCIÓN EDUCATIVA PARTICULAR NOVEL INICIAL,3.0,empleado,6.0,empresa o patrono privado,aux biliar de educación,enseñar dar clase,institución educativa particular novel inicial,aux biliar de educación enseñar dar clase institución educativa particular novel inicial,"aux biliar de educación enseñar dar clase institución educativa particular novel inicial , edad: 36 años , educación: superior no universitaria completa , desempeño: empleado",204.0,2342,5312,0.4823895
2021,008641,031,11,01,1,hombre,64,5.0,secundaria incompleta,,,9549,otros vendedores ambulantes de aparatos o artículos para el hogar,VENDEDOR DE LANA PELLEJO DE OVINO AUQUENIDO,COMPRAR VENDER COBRAR CLIENTE,4799,"otros tipos de venta al por menor no realizada en almacenes, puestos de venta o mercados",VENTA AMBULATORIA DE LANA PELLEJO  DE OVINO AUQUENIDO,2.0,trabajador independiente,,<NA>,vendedor de lana pellejo de ovino auquénido,comprar vender cobrar cliente,venta ambulatoria de lana pellejo de ovino auquénido,vendedor de lana pellejo de ovino auquénido comprar vender cobrar cliente venta ambulatoria de lana pellejo de ovino auquénido,"vendedor de lana pellejo de ovino auquénido comprar vender cobrar cliente venta ambulatoria de lana pellejo de ovino auquénido , edad: 64 años , educación: secundaria incompleta , desempeño: trabajador independiente",348.0,9524,9549,0.9854791
2021,017045,010,11,01,1,hombre,38,10.0,superior universitaria completa,331016.0,administración,2421,analistas de gestión y organización,ADMINISTRADOR,ADMINISTRAR COLEGIO,8521,enseñanza secundaria de formación general,ENSEÑANZA DE EDUCACIÓN PRIMARIA SECUNDARIA PARTICULAR,3.0,empleado,6.0,empresa o patrono privado,administrador,administrar colegio,enseñanza de educación primaria secundaria particular,administrador administrar colegio enseñanza de educación primaria secundaria particular,"administrador administrar colegio enseñanza de educación primaria secundaria particular , edad: 38 años , educación: superior universitaria completa , desempeño: empleado",69.0,3314,2421,0.7904574
2020,015858,089,11,02,1,hombre,35,5.0,secundaria incompleta,,,9211,peones de explotaciones agrícolas y ganaderas,PEON AGRICOLA,CORTAR ARBOL ASERRAR MADERA,3100,fabricación de muebles,FABRICACION VENTA DE  DE MUEBLES DE MADERA,4.0,obrero,6.0,empresa o patrono privado,peón agricola,cortar árbol aserrar madera,fabricación venta de de muebles de madera,peón agricola cortar árbol aserrar madera fabricación venta de de muebles de madera,"peón agricola cortar árbol aserrar madera fabricación venta de de muebles de madera , edad: 35 años , educación: secundaria incompleta , desempeño: obrero",319.0,7322,9211,0.96536356
2023,018860,039,11,01,2,mujer,34,11.0,maestria/doctorado,121016.0,educación secundaria,1341,directores y gerentes de empresas que prestan servicios de cuidados infantiles,DIRECTORA DE EDUCACION SECUNDARIA,REALIZAR MATRICULAS TRASLADOS DOCUMENTACIONES,8521,enseñanza secundaria de formación general,INSTITUCION EDUCATIVA ESTATAL SECUNDARIA,3.0,empleado,2.0,administración pública,directora de educación secundaria,realizar matriculas traslados documentaciones,institución educativa estatal secundaria,directora de educación secundaria realizar matriculas traslados documentaciones institución educativa estatal secundaria,"directora de educación secundaria realizar matriculas traslados documentaciones institución educativa estatal secundaria , edad: 34 años , educación: maestría o doctorado , desempeño: empleado",23.0,1345,1341,0.96774757
2021,015288,032,11,04,1,hombre,29,10.0,superior universitaria completa,531016.0,ingeniería civil,2142,ingenieros civiles,TOPÓGRAFO,OPERAR CON ESTACION,7110,actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico,SERVICIO DE TOPOGRAFÍA EN CASA DEL CLIENTE,2.0,trabajador independiente,,<NA>,topógrafo,operar con estación,servicio de topografía en casa del cliente,topógrafo operar con estación servicio de topografía en casa del cliente,"topógrafo operar con estación servicio de topografía en casa del cliente , edad: 29 años , educación: superior universitaria completa , desempeño: trabajador independiente",34.0,7119,2142,0.62695473
2024,015619,029,11,01,2,mujer,45,6.0,secundaria completa,,,3314,técnicos en administración,CONSEJERA REGIONAL DITA,HACER DOCUMENTOS ARCHIVOS CONTESTAR LLAMADAS,8411,actividades de la administración pública en general,GOBIERNO REGIONAL,3.0,empleado,2.0,administración pública,consejera regional dita,hacer documentos archivos contestar llamadas,gobierno regional,consejera regional dita hacer documentos archivos contestar llamadas gobierno regional,"consejera regional dita hacer documentos archivos contestar llamadas gobierno regional , edad: 45 años , educación: secundaria completa , desempeño: empleado",129.0,1114,3314,0.9719678
2022,016526,062,11,02,2,mujer,33,11.0,maestria/doctorado,351056.0,derecho y ciencias politicas (se incluye la carrera de derecho y ciencia política),4120,secretarios,SECRETARIA JUDICIAL,DAR ASISTENCIA DURANTE LA AUDIENCIA TRANSCRIBIR RESOLUCIONES Y SENTENC,8423,actividades de mantenimiento del orden público y de seguridad,PODER JUDICIAL,3.0,empleado,2.0,administración pública,secretaria judicial,dar asistencia durante la audiencia transcribir resoluciones y sentenc,poder judicial,secretaria judicial dar asistencia durante la audiencia transcribir resoluciones y sentenc poder judicial,"secretaria judicial dar asistencia durante la audiencia transcribir resoluciones y sentenc poder judicial , edad: 33 años , educación: maestría o doctorado , desempeño: empleado",159.0,2619,4120,0.9574257
2023,017689,021,11,01,2,mujer,68,6.0,secundaria completa,,,4223,empleados de ventanillas de informes,CABINERO DE SU NEGOCIO,ADMINISTRAR EL NEGOCIO LLEVAR CUENTAS DE NEGOCIO COBRAR,6190,otras actividades de telecomunicación,SERVICIO DE CABINA DE INTERNET EN VIVIENDA,2.0,trabajador independiente,,<NA>,caminero de su negocio,administrar el negocio llevar cuentas de negocio cobrar,servicio de cabina de internet en vivienda,caminero de su negocio administrar el negocio llevar cuentas de negocio cobrar servicio de cabina de internet en vivienda,"caminero de su negocio administrar el negocio llevar cuentas de negocio cobrar servicio de cabina de internet en vivienda , edad: 68 años , educación: secundaria completa , desempeño: trabajador independiente",168.0,9629,4223,0.87685275
2020,016870,083,11,01,1,hombre,69,10.0,superior universitaria completa,121426.0,educación secundaria - lengua y literatura,3431,fotógrafos,EDITOR DE VIDEOS,EDITAR VÍDEOS,7420,actividades fotográficas,SERVICIO DE EDITADO DE VÍDEO EN VIVIENDA,2.0,trabajador independiente,,<NA>,editor de videos,editar vídeos,servicio de editado de vídeo en vivienda,editor de videos editar vídeos servicio de editado de vídeo en vivienda,"editor de videos editar vídeos servicio de editado de vídeo en vivienda , edad: 69 años , educación: superior universitaria completa , desempeño: trabajador independiente",147.0,3521,3431,0.9798263
2024,015403,046,11,01,1,hombre,39,10.0,superior universitaria completa,611016.0,agronomia,3152,técnicos agropecuarios,ASISTENTE TECNICO,ELABORAR EXPEDIENTE TECNICO REVIZAR DOCUMENTOS,8411,actividades de la administración pública en general,GOBIERNO REGIONAL,3.0,empleado,2.0,administración pública,asistente tecnico,elaborar expediente tecnico revisar documentos,gobierno regional,asistente tecnico elaborar expediente tecnico revisar documentos gobierno regional,"asistente tecnico elaborar expediente tecnico revisar documentos gobierno regional , edad: 39 años , educación: superior universitaria completa , desempeño: empleado",112.0,4419,3152,0.85719264
2024,017979,010,11,01,1,hombre,58,10.0,superior universitaria completa,432016.0,estadistica,3211,técnicos en radioterapia e imagenología,RADIOLOGO,TOMAR RAYOS X TOMOGRAFIAS RESONANCIA MAGNÉTICA,8610,actividades de hospitales,SERVICIO DE MEDICINA OCUPACIONAL EXÁMENES DE  LABORATORIO  Y DE IMÁG,3.0,empleado,6.0,empresa o patrono privado,radiólogo,tomar rayos x tomografías resonancia magnética,servicio de medicina ocupacional exámenes de laboratorio y de imán,radiólogo tomar rayos x tomografías resonancia magnética servicio de medicina ocupacional exámenes de laboratorio y de imán,"radiólogo tomar rayos x tomografías resonancia magnética servicio de medicina ocupacional exámenes de laboratorio y de imán , edad: 58 años , educación: superior universitaria completa , desempeño: empleado",114.0,2212,3211,0.40725234
2023,018066,100,11,01,2,mujer,31,6.0,secundaria completa,,,7354,"bordadores, reparadores y ayudantes de costura",OBRER TEXTIL,AREA DE ACABADOS  TECTILES DOBLADO EMBOLSAFO,1313,acabado de productos textiles,SERVICIO DE ACABADOS TEXTILES,4.0,obrero,6.0,empresa o patrono privado,obrero textil,area de acabados tectiles doblado embolsafo,servicio de acabados textiles,obrero textil area de acabados tectiles doblado embolsafo servicio de acabados textiles,"obrero textil area de acabados tectiles doblado embolsafo servicio de acabados textiles , edad: 31 años , educación: secundaria completa , desempeño: obrero",262.0,7341,7354,0.5101653
